runway_id,airport_id,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,he_ident,he_latitude_deg,he_longitude_deg
242460,20551,KMPV,4022,100,ASP,0,0,5,44.20249939,-72.56529999,23,44.21179962,-72.55709839
234634,1340,CYKM,4085,75,ASP,1,0,13,44.20439911,-81.61329651,31,44.19860077,-81.59999847
236436,3235,LD57,3385,100,ASP,0,0,2,44.20560074,15.16129971,20,44.21450043,15.16499996
242461,20551,KMPV,5002,100,ASP,1,0,17,44.20660019,-72.56780243,35,44.19449997,-72.55870056
242231,21026,KS87,4000,60,ASP,1,0,12,44.21060181,-116.9680023,30,44.2030983,-116.9570007
257164,9819,2U7,4300,150,TURF-DIRT-G,0,0,17,44.21429825,-114.9329987,35,44.20280075,-114.935997
240561,20519,KMKT,3999,75,ASP,1,0,4,44.2154007,-93.92500305,22,44.22280121,-93.9138031
234957,1743,CYGK,5000,100,ASP,1,0,1,44.21910095,-76.60179901,19,44.23260117,-76.60310364
234958,1743,CYGK,3933,100,ASP,1,0,7,44.2195549,-76.6014328,25,44.22558594,-76.59014893
234528,1661,CYAU,3937,75,ASP,1,0,7,44.22710037,-64.86219788,25,44.23350143,-64.84999847
234584,1854,CYPQ,7000,100,ASP,1,0,9,44.22821045,-78.37615204,27,44.23286819,-78.35024261
240562,20519,KMKT,5400,100,ASP,1,0,15,44.23020172,-93.92269897,33,44.21689987,-93.91390228
237035,4353,LIPC,10007,148,ASP,1,0,11,44.23040009,12.2901001,29,44.21820068,12.32429981
234585,1854,CYPQ,2000,49,ASPH,0,0,13,44.23065186,-78.35978699,31,44.22846222,-78.3536377
239786,19600,KD42,3400,75,ASP,1,0,13,44.23419952,-95.00379944,31,44.22790146,-94.99410248
238566,6514,URMM,12795,197,CON,1,0,12,44.2344017,43.06129837,30,44.21569824,43.10250092
242852,21418,KY31,5000,100,ASP,1,0,9,44.24470139,-84.18930054,27,44.24489975,-84.17030334
249119,26331,Y58,2570,300,TURF-G,0,0,4,44.2466011,-94.71250153,22,44.25230026,-94.70680237
243895,21197,KTKC,2590,200,GRS,0,0,6,44.24779892,-95.61139679,24,44.2521019,-95.60389709
242981,19320,KATW,8002,150,CON,1,0,3,44.24890137,-88.52619934,21,44.26860046,-88.51270294
245832,3843,KRDM,7040,150,ASP,1,0,4,44.24950027,-121.1620026,22,44.25910187,-121.1380005
240903,19358,KBCK,4600,75,ASP,1,0,8,44.24969864,-90.86389923,26,44.25180054,-90.84660339
